입찰공고번호,입찰공고차수,입찰공고명,업무구분명,계약체결형태명,계약체결방법명,낙찰자결정방법명,적격심사여부,공고기관명,공고기관코드,수요기관명,수요기관코드,낙찰하한율,예정가격,기초금액,추정가격,개찰일자,개찰시각,개찰결과구분명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체사업자등록번호,최종낙찰업체주소
EBH0062,2,전지 재충전불가식(BA-6823AK 등 2종),물품,총액계약,수의계약,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,0,,3324149000,0,2025-06-12,11:00,유찰,,,,,,,,
ELA0030,1,공구상자 및 방차통(릴 케이블용),물품,총액계약,제한경쟁,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,102301026,102844000,0,2025-06-12,14:00,개찰완료,90362000,88.329,2025-06-12,남양정공,정영길,정영길,335-41-00419,"부산광역시 강서구 유통단지1로97번길11 (대저2동, 113동)"
LCF0326,1,감염예방용 살균소독티슈 등 4항목 구매(의무),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,74851624,74657000,67870000,2025-06-12,11:30,개찰완료,65865890,87.995,2025-06-12,행복구대,권창모,권창모,453-03-02810,"대구광역시 달서구 두류공원로242, 701-36호(두류동)"
LCF0325,1,볼 흡수용 등 4항목 구매(의무),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,19483842,19521000,17746364,2025-06-12,11:00,개찰완료,17145210,87.997,2025-06-12,마중물,연춘자,연춘자,638-64-00428,충청남도 홍성군 장곡면 무한로1097번길24
LCF0327,1,건열기 등 10항목 구매(의무),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,41192562,41238000,37489091,2025-06-12,13:00,개찰완료,36247400,87.995,2025-06-12,비피엔,백수진,백수진,751-10-01877,"충청남도 아산시 배방읍 희망로46번길12 , 1119호(천안아산역 미소지움 더 테라스)"
LCF0338,1,덮개 조립체 등 32항목 생산능력제조(총포),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,82.995,,849348289,772134808,2025-06-12,11:30,유찰,,,,,,,,
LCF0341,1,콘넥터 서큘러용 등 3항목 구매(총포),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,,104118800,94653455,2025-06-12,11:30,유찰,,,,,,,,
LCF0351,1,배전반 신호분배용 레이더용 등 36항목 구매(특무),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,183216820,182975450,166341318,2025-06-12,11:30,개찰완료,161789152,88.304,2025-06-12,주식회사 엔아이에프,김강희,김강희,247-86-03823,"경상북도 구미시 송정대로99 ,2111호 (송정동)"
LCF0348,1,사격부속장치 공포탄용 등 110항목 제조(총포),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,82.995,,1072184380,974713073,2025-06-12,11:30,유찰,,,,,,,,
LCF0340,1,전원공급기 무정전식 등 10항목 구매(총포),물품,총액계약,일반경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,82.995,406828623,408873080,371702800,2025-06-12,11:30,개찰완료,341510259,83.944,2025-06-12,주식회사 와이어블(Wiable Corp.),김문환,김성욱,214-86-12657,"서울특별시 송파구 법원로11길28, 10층, 11층, 12층(문정동, 비케이타워)"
LCF0350,1,포각박기 포가후미용 등 9항목 제조(총포),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,,77932060,70847327,2025-06-12,11:30,유찰,,,,,,,,
LCF0347,1,고각장치 기관총용 구경 50 등 1항목 제조(총포),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,53006687,52650000,47863636,2025-06-12,11:30,개찰완료,46661900,88.03,2025-06-12,진해공업,김재원,김재원,608-14-66967,경상남도 김해시 한림면 김해대로1099번안길42-18
